seed,schedule_index,target_sigma,actual_sigma,Q1,Q2,cos_dAB_dA_plus_dB,ratio_dA_plus_dB_to_dAB,norm_r_ref,bf16_fp32_relative_l2
42,0,1.0,1.0,0.4896218432330746,0.2992954933542774,0.9187981352807794,1.2084869332595547,246.3878631591797,0.00402922305195457
42,2,0.9,0.896747887134552,0.9380230122598479,0.4954332009014092,0.9269557866906447,1.7866847545684372,70.39472961425781,0.005283159838542697
42,9,0.75,0.7595109343528748,1.187634721238403,0.5684354900611039,0.9089256289102959,2.0209605663262993,84.29812622070312,0.004619383457457749
42,17,0.5,0.4901053011417389,1.3536846160281721,0.607066924407127,0.8985267107925812,2.1790782782660973,89.86593627929688,0.004404164630541254
42,21,0.25,0.2597584128379822,1.004144841361302,0.532653563329173,0.905316665141348,1.8152095197482032,42.11964797973633,0.006985047735738005
42,23,0.1,0.09820803999900818,0.8979385972501218,0.5059638849294112,0.9076393611932958,1.7014295672875528,57.805057525634766,0.006456320646153067
43,0,1.0,1.0,0.6477839451144614,0.36731825420368536,0.9197131993331663,1.4349765408313941,275.7785949707031,0.0035468985999112597
43,2,0.9,0.896747887134552,1.0445392846737729,0.529928958086385,0.8959437172161177,1.841341622671805,77.05522918701172,0.004846471314655906
43,9,0.75,0.7595109343528748,1.1632835245060351,0.5654209452351774,0.9035892117130857,1.9851167804550054,83.78045654296875,0.004525975209770727
43,17,0.5,0.4901053011417389,1.307390299132915,0.6034677222486455,0.8907342466963221,2.1165714202916353,88.11490631103516,0.0043222031283321055
43,21,0.25,0.2597584128379822,1.0591247465168578,0.546266204519046,0.9040634540683758,1.8731228438464638,45.0512809753418,0.006341488609832455
43,23,0.1,0.09820803999900818,0.9092506647142453,0.5091493223933551,0.9080418566745534,1.7150591438289418,57.128578186035156,0.0062926897984322255
44,0,1.0,1.0,0.6618151655193942,0.36409458154361407,0.9011764817954757,1.401295141245369,281.23004150390625,0.003689325833506401
44,2,0.9,0.896747887134552,0.9178231876399287,0.48876022664222385,0.9130147000356352,1.7352041903329591,64.32102966308594,0.005824842945757823
44,9,0.75,0.7595109343528748,1.0815274938976907,0.540512331952846,0.9219779518770024,1.9318021713198694,73.66339111328125,0.004801185973285027
44,17,0.5,0.4901053011417389,1.2235428186050528,0.58693631310241,0.8947492455818894,2.0338862922861045,76.37762451171875,0.0047926223580476305
44,21,0.25,0.2597584128379822,1.0629774675366812,0.5508190604236106,0.8987583102384507,1.8671011570533251,45.97252655029297,0.006471575512001679
44,23,0.1,0.09820803999900818,0.9127753707808814,0.5084208254592743,0.9088800970176684,1.7208051042836647,57.35367202758789,0.006491253034352378
45,0,1.0,1.0,0.5024711418570245,0.3075061924536053,0.9299368608135168,1.2723689940976142,244.6350555419922,0.0038937672233226514
45,2,0.9,0.896747887134552,0.9406815090218952,0.492287311249366,0.8974069227045711,1.7282022914380841,69.80020141601562,0.005735340483155619
45,9,0.75,0.7595109343528748,1.2096917986780031,0.5737730405557006,0.9038793263206595,2.0354058814009424,87.42473602294922,0.0044777588542259305
45,17,0.5,0.4901053011417389,1.3698474402871585,0.6111570324755049,0.8951131658864074,2.1903772002569855,89.53948974609375,0.004461648100053461
45,21,0.25,0.2597584128379822,0.9715278255298022,0.5224089727358199,0.9103455479365623,1.7893194854206729,42.09319305419922,0.006809988117471276
45,23,0.1,0.09820803999900818,0.8985499645360941,0.5059115566659657,0.9083651174369182,1.7036757893621481,59.27736282348633,0.006453944836624416
46,0,1.0,1.0,0.45800754952393596,0.2877063880681283,0.929524940847906,1.2011632199204212,230.14535522460938,0.0040336446472559375
46,2,0.9,0.896747887134552,1.1045436544672331,0.5381799944460557,0.8986118498238372,1.912278523334089,72.4137191772461,0.005093879251725516
46,9,0.75,0.7595109343528748,1.2165833014342868,0.5735319252286014,0.9141387802257264,2.0611893815406424,88.9653549194336,0.004212972677117358
46,17,0.5,0.4901053011417389,1.424659952381703,0.6354687355341626,0.8603289488160893,2.190675643054943,93.16156768798828,0.004353524275557483
46,21,0.25,0.2597584128379822,1.004824801336746,0.5328452336860735,0.9059415524002704,1.8172060967647006,43.44970703125,0.006802467448648141
46,23,0.1,0.09820803999900818,0.9085302621597324,0.5094059289126869,0.9065625293631323,1.7111015971990309,58.058807373046875,0.006520518147024205
